date, pm25, pm10, o3, no2, so2
2024/8/28, 63, 22, 51, 26, 
2024/8/29, 63, 21, 33, 15, 
2024/8/30, 60, 9, 18, 12, 
2024/8/31, 23, 9, 18, 13, 
2024/9/1, 21, 15, 30, 29, 1
2024/9/2, 42, 28, 68, 35, 1
2024/9/3, 69, 21, 45, 22, 
2024/9/4, 51, 17, 25, 11, 
2024/9/5, 38, 11, 22, 8, 
2024/9/6, 15, 17, 16, 10, 
2024/9/7, 27, 8, 15, 11, 
2024/9/8, 15, 8, 17, 17, 
2024/9/9, 18, 14, 23, 17, 1
2024/9/10, 38, 21, 20, 19, 1
2024/9/11, 58, 18, 25, 27, 1
2024/9/12, 51, 15, 25, 17, 
2024/9/13, 45, 18, 19, 27, 1
2024/9/14, 47, 26, 68, 24, 
2024/9/15, 68, 13, 24, 17, 
2024/9/16, 37, 13, 24, 13, 
2024/9/17, 37, 18, 28, 11, 
2024/9/18, 33, 20, 33, 13, 
2024/9/19, 41, 15, 27, 17, 
2024/9/20, 41, 9, 16, 22, 
2024/9/21, 29, 7, 20, 12, 
2024/9/22, 21, 6, 19, 15, 
2024/9/23, 18, 9, 7, 21, 
2024/9/24, 20, 10, 16, 20, 
2024/9/25, 23, 14, 40, 25, 1
2024/9/26, 40, 19, 35, 28, 1
2024/9/27, 49, 28, 30, 28, 1
2024/9/28, 69, 19, 36, 19, 
2024/9/29, 46, 33, 64, 39, 1
2024/9/30, 72, 17, 26, 15, 
2024/4/1, 70, 31, 11, 18, 2
2024/4/2, 81, 15, 11, 15, 2
2024/4/3, 33, 16, 10, 13, 2
2024/4/4, 30, 23, 25, 12, 2
2024/4/5, 59, 21, 23, 19, 2
2024/4/6, 47, 24, 19, 15, 2
2024/4/7, 38, 30, 19, 20, 2
2024/4/8, 49, 11, 25, 14, 2
2024/4/9, 26, 26, 57, 16, 3
2024/4/10, 45, 32, 49, 19, 2
2024/4/11, 67, 32, 32, 28, 2
2024/4/12, 69, 29, 20, 29, 3
2024/4/13, 70, 15, 13, 15, 2
2024/4/14, 41, 21, 12, 17, 2
2024/4/15, 57, 22, 9, 17, 2
2024/4/16, 63, 18, 10, 15, 
2024/4/17, 53, 19, 18, 25, 
2024/4/18, 51, 18, 9, 18, 
2024/4/19, 47, 19, 19, 17, 
2024/4/20, 47, 11, 21, 19, 
2024/4/21, 28, 19, 3, 28, 
2024/4/22, 50, 19, 8, 29, 
2024/4/23, 54, 25, 22, 28, 
2024/4/24, 64, 16, 28, 18, 
2024/4/25, 36, 17, 17, 17, 
2024/4/26, 34, 21, 10, 13, 
2024/4/27, 41, 12, 37, 10, 
2024/4/28, 22, 18, 22, 16, 
2024/4/29, 36, 16, 28, 13, 
2024/4/30, 34, 12, 30, 23, 
2024/5/1, 37, 20, 41, 20, 
2024/5/2, 47, 26, 43, 16, 
2024/5/3, 50, 11, 39, 19, 
2024/5/4, 26, 8, 36, 15, 
2024/5/5, 19, 18, 13, 24, 
2024/5/6, 49, 30, 38, 31, 1
2024/5/7, 69, 26, 57, 16, 
2024/5/8, 70, 34, 78, 12, 
2024/5/9, 65, 27, 62, 15, 
2024/5/10, 51, 23, 36, 15, 
2024/5/11, 42, 25, 27, 20, 
2024/5/12, 56, 23, 39, 20, 
2024/5/13, 53, 22, 58, 15, 
2024/5/14, 38, 22, 76, 13, 
2024/5/15, 46, 35, 91, 13, 
2024/5/16, 64, 28, 57, 18, 
2024/5/17, 49, 21, 61, 13, 
2024/5/18, 52, 24, 51, 9, 
2024/5/19, 54, 12, 27, 16, 
2024/5/20, 32, 8, 21, 22, 
2024/5/21, 20, 15, 26, 21, 
2024/5/22, 42, 10, 22, 17, 
2024/5/23, 29, 7, 24, 15, 
2024/5/24, 20, 10, 14, 17, 
2024/5/25, 25, 14, 12, 14, 
2024/5/26, 42, 13, 9, 16, 
2024/5/27, 42, 14, 47, 23, 
2024/5/28, 39, 26, 50, 12, 
2024/5/29, 44, 15, 40, 16, 
2024/5/30, 35, 12, 20, 13, 
2024/5/31, 26, 11, 20, 15, 
2024/6/1, 19, 16, 39, 18, 
2024/6/2, 47, 14, 32, 17, 
2024/6/3, 36, 21, 45, 12, 
2024/6/4, 46, 15, 36, 13, 
2024/6/5, 44, 15, 27, 20, 
2024/6/6, 49, 15, 35, 19, 
2024/6/7, 38, 9, 32, 16, 
2024/6/8, 24, 9, 10, 15, 
2024/6/9, 23, 8, 10, 14, 
2024/6/10, 15, 14, 10, 20, 
2024/6/11, 32, 16, 13, 17, 
2024/6/12, 37, 18, 17, 18, 
2024/6/13, 42, 19, 19, 16, 
2024/6/14, 45, 18, 21, 18, 
2024/6/15, 39, 14, 17, 14, 
2024/6/16, 27, 13, 11, 15, 
2024/6/17, 25, 15, 14, 17, 
2024/6/18, 29, 14, 10, 17, 
2024/6/19, 27, 11, 8, 20, 
2024/6/20, 23, 12, 10, 17, 
2024/6/21, 33, 18, 11, 15, 
2024/6/22, 55, 8, 14, 13, 
2024/6/23, 18, 11, 10, 16, 
2024/6/24, 21, 13, 9, 17, 
2024/6/25, 24, 11, 14, 13, 
2024/6/26, 32, 9, 13, 10, 
2024/6/27, 18, 11, 8, 14, 
2024/6/28, 22, 9, 8, 14, 
2024/6/29, 23, 12, 11, 9, 
2024/6/30, 23, 15, 18, 9, 
2024/1/1, 115, 53, 44, 20, 1
2024/1/2, 97, 38, 32, 20, 2
2024/1/3, 82, 28, 34, 23, 2
2024/1/4, 60, 37, 41, 26, 2
2024/1/5, 71, 41, 47, 40, 2
2024/1/6, 89, 49, 61, 12, 2
2024/1/7, 102, 57, 50, 19, 2
2024/1/8, 118, 52, 41, 29, 2
2024/1/9, 100, 27, 35, 15, 1
2024/1/10, 62, 36, 39, 18, 1
2024/1/11, 84, 57, 55, 24, 1
2024/1/12, 123, 45, 53, 19, 1
2024/1/13, 100, 20, 35, 19, 1
2024/1/14, 47, 25, 47, 25, 1
2024/1/15, 56, 35, 46, 14, 1
2024/1/16, 76, 33, 37, 16, 1
2024/1/17, 68, 23, 32, 18, 1
2024/1/18, 46, 19, 35, 24, 1
2024/1/19, 47, 30, 35, 26, 1
2024/1/20, 62, 22, 36, 15, 1
2024/1/21, 57, 28, 20, 14, 1
2024/1/22, 60, 15, 19, 16, 
2024/1/23, 42, 26, 17, 18, 1
2024/1/24, 71, 30, 16, 24, 1
2024/1/25, 71, 35, 18, 22, 1
2024/1/26, 78, 42, 20, 20, 2
2024/1/27, 91, 24, 21, 14, 
2024/1/28, 74, 31, 19, 16, 
2024/1/29, 85, 34, 31, 19, 
2024/1/30, 84, 39, 31, 17, 1
2024/1/31, 70, 22, 22, 25, 1
2024/2/1, 52, 17, 24, 21, 1
2024/2/2, 48, 18, 33, 15, 1
2024/2/3, 43, 19, 27, 13, 1
2024/2/4, 49, 19, 30, 15, 1
2024/2/5, 56, 21, 26, 15, 1
2024/2/6, 47, 16, 25, 15, 1
2024/2/7, 46, 7, 7, 12, 1
2024/2/8, 23, 9, 11, 13, 1
2024/2/9, 31, 29, 20, 14, 1
2024/2/10, 85, 30, 31, 22, 1
2024/2/11, 76, 31, 40, 10, 
2024/2/12, 60, 36, 43, 12, 
2024/2/13, 71, 31, 29, 18, 1
2024/2/14, 64, 28, 19, 31, 2
2024/2/15, 62, 29, 26, 23, 2
2024/2/16, 66, 23, 27, 14, 1
2024/2/17, 50, 34, 27, 13, 1
2024/2/18, 62, 19, 8, 21, 2
2024/2/19, 48, 14, 11, 18, 2
2024/2/20, 41, 12, 14, 21, 2
2024/2/21, 33, 14, 15, 16, 2
2024/2/22, 30, 20, 15, 13, 2
2024/2/23, 40, 16, 14, 16, 1
2024/2/24, 41, 15, 12, 19, 2
2024/2/25, 46, 24, 33, 15, 1
2024/2/26, 57, 22, 22, 18, 2
2024/2/27, 50, 23, 33, 16, 2
2024/2/28, 43, 25, 29, 20, 2
2024/2/29, 47, 9, 16, 19, 1
2024/3/1, 21, 13, 18, 20, 1
2024/3/2, 25, 24, 34, 10, 2
2024/3/3, 39, 25, 32, 20, 2
2024/3/4, 43, 15, 7, 24, 3
2024/3/5, 48, 30, 2, 27, 2
2024/3/6, 72, 21, 17, 12, 
2024/3/7, 45, 20, 47, 14, 
2024/3/8, 46, 34, 51, 13, 
2024/3/9, 63, 19, 33, 8, 
2024/3/10, 51, 14, 31, 24, 1
2024/3/11, 48, 9, 37, 23, 1
2024/3/12, 28, 47, 45, 22, 1
2024/3/13, 61, 41, 44, 18, 1
2024/3/14, 63, 48, 37, 15, 1
2024/3/15, 78, 43, 33, 16, 1
2024/3/16, 72, 36, 19, 16, 1
2024/3/17, 65, 26, 34, 21, 1
2024/3/18, 63, 18, 27, 19, 1
2024/3/19, 35, 34, 47, 16, 1
2024/3/20, 47, 40, 44, 18, 1
2024/3/21, 44, 49, 39, 19, 1
2024/3/22, 51, 34, 26, 17, 1
2024/3/23, 45, 16, 21, 15, 1
2024/3/24, 41, 17, 16, 18, 2
2024/3/25, 47, 30, 49, 28, 2
2024/3/26, 72, 24, 47, 16, 1
2024/3/27, 51, 29, 34, 31, 2
2024/3/28, 51, 37, 44, 32, 2
2024/3/29, 65, 23, 19, 16, 2
2024/3/30, 43, 12, 8, 10, 2
2024/3/31, 40, 23, 10, 13, 2
2023/10/1, 48, 24, 41, 10, 2
2023/10/2, 49, 30, 35, 22, 2
2023/10/3, 56, 40, 43, 33, 2
2023/10/4, 82, 22, 28, 20, 2
2023/10/5, 60, 22, 35, 19, 2
2023/10/6, 55, 9, 22, 13, 2
2023/10/7, 25, 3, 28, 6, 2
2023/10/8, 9, 5, 25, 12, 2
2023/10/9, 21, 11, 19, 14, 2
2023/10/10, 30, 13, 34, 11, 2
2023/10/11, 36, 16, 32, 13, 2
2023/10/12, 45, 12, 31, 15, 2
2023/10/13, 37, 16, 35, 21, 2
2023/10/14, 50, 28, 51, 12, 2
2023/10/15, 71, 38, 55, 15, 2
2023/10/16, 84, 34, 56, 17, 2
2023/10/17, 70, 38, 55, 23, 2
2023/10/18, 79, 32, 33, 24, 2
2023/10/19, 69, 25, 27, 19, 2
2023/10/20, 58, 15, 25, 11, 2
2023/10/21, 42, 19, 41, 9, 2
2023/10/22, 53, 28, 45, 12, 2
2023/10/23, 65, 26, 36, 18, 2
2023/10/24, 60, 27, 36, 15, 2
2023/10/25, 63, 22, 29, 17, 2
2023/10/26, 56, 19, 28, 15, 2
2023/10/27, 50, 26, 38, 14, 2
2023/10/28, 61, 27, 51, 11, 2
2023/10/29, 63, 33, 39, 21, 2
2023/10/30, 66, 27, 46, 18, 2
2023/10/31, 57, 21, 42, 17, 2
2023/11/1, 44, 24, 35, 16, 2
2023/11/2, 50, 26, 38, 21, 3
2023/11/3, 59, 21, 31, 18, 2
2023/11/4, 55, 20, 38, 16, 2
2023/11/5, 54, 23, 41, 22, 2
2023/11/6, 52, 29, 47, 17, 2
2023/11/7, 58, 33, 56, 12, 2
2023/11/8, 57, 33, 36, 22, 2
2023/11/9, 59, 29, 34, 16, 2
2023/11/10, 61, 21, 32, 13, 2
2023/11/11, 42, 14, 23, 9, 2
2023/11/12, 36, 14, 24, 13, 2
2023/11/13, 38, 23, 26, 15, 2
2023/11/14, 59, 23, 38, 15, 2
2023/11/15, 58, 30, 24, 21, 2
2023/11/16, 60, 43, 28, 19, 2
2023/11/17, 58, 44, 34, 23, 3
2023/11/18, 59, 45, 48, 27, 3
2023/11/19, 63, 44, 48, 32, 3
2023/11/20, 69, 28, 39, 29, 3
2023/11/21, 58, 24, 33, 28, 4
2023/11/22, 53, 27, 39, 39, 4
2023/11/23, 62, 43, 62, 25, 1
2023/11/24, 86, 42, 47, 13, 
2023/11/25, 66, 31, 52, 18, 
2023/11/26, 59, 36, 42, 36, 
2023/11/27, 82, 40, 55, 16, 
2023/11/28, 86, 48, 57, 16, 
2023/11/29, 80, 41, 51, 22, 
2023/11/30, 80, 36, 32, 15, 
2023/12/1, 77, 34, 46, 18, 
2023/12/2, 83, 38, 41, 13, 1
2023/12/3, 80, 46, 31, 29, 1
2023/12/4, 103, 42, 20, 32, 2
2023/12/5, 94, 32, 24, 25, 1
2023/12/6, 80, 18, 31, 31, 1
2023/12/7, 42, 32, 57, 29, 1
2023/12/8, 62, 42, 47, 22, 1
2023/12/9, 72, 29, 43, 17, 1
2023/12/10, 66, 13, 20, 23, 1
2023/12/11, 36, 32, 38, 28, 2
2023/12/12, 74, 24, 34, 12, 1
2023/12/13, 57, 33, 40, 16, 1
2023/12/14, 71, 19, 29, 18, 1
2023/12/15, 48, 19, 22, 15, 
2023/12/16, 34, 18, 16, 12, 
2023/12/17, 53, 29, 20, 16, 
2023/12/18, 66, 34, 9, 26, 1
2023/12/19, 67, 19, 12, 21, 1
2023/12/20, 43, 21, 14, 17, 
2023/12/21, 56, 40, 22, 20, 
2023/12/22, 76, 33, 23, 24, 1
2023/12/23, 72, 23, 25, 23, 
2023/12/24, 60, 25, 37, 22, 1
2023/12/25, 60, 38, 40, 23, 1
2023/12/26, 70, 32, 32, 27, 1
2023/12/27, 67, 38, 37, 21, 1
2023/12/28, 79, 32, 35, 17, 1
2023/12/29, 64, 42, 26, 46, 2
2023/12/30, 89, 37, 47, 34, 2
2023/12/31, 88, 56, 62, 11, 1
2023/7/1, 23, 8, 7, 15, 2
2023/7/2, 21, 10, 9, 16, 2
2023/7/3, 21, 12, 11, 15, 2
2023/7/4, 20, 12, 9, 12, 2
2023/7/5, 23, 10, 6, 11, 2
2023/7/6, 24, 15, 8, 12, 2
2023/7/7, 41, 13, 10, 13, 2
2023/7/8, 33, 7, 9, 11, 3
2023/7/9, 17, 7, 7, 14, 2
2023/7/10, 15, 9, 8, 14, 2
2023/7/11, 20, 7, 13, 16, 2
2023/7/12, 19, 9, 14, 16, 2
2023/7/13, 21, 14, 15, 25, 3
2023/7/14, 30, 24, 39, 27, 3
2023/7/15, 54, 14, 24, 9, 2
2023/7/16, 35, 19, 26, 5, 2
2023/7/17, 27, 24, 16, 12, 2
2023/7/18, 40, 12, 10, 14, 2
2023/7/19, 24, 9, 11, 13, 2
2023/7/20, 18, 10, 9, 16, 2
2023/7/21, 25, 8, 10, 14, 2
2023/7/22, 19, 7, 12, 10, 2
2023/7/23, 15, 9, 14, 12, 2
2023/7/24, 20, 12, 18, 19, 2
2023/7/25, 26, 36, 112, 33, 3
2023/7/26, 77, 25, 45, 26, 3
2023/7/27, 58, 25, 43, 29, 3
2023/7/28, 61, 20, 29, 19, 2
2023/7/29, 51, 15, 12, 14, 1
2023/7/30, 34, 9, 14, 10, 
2023/7/31, 20, 11, 18, 14, 
2023/8/1, 29, 13, 20, 15, 1
2023/8/2, 39, 11, 15, 20, 1
2023/8/3, 31, 11, 14, 13, 1
2023/8/4, 24, 19, 11, 18, 1
2023/8/5, 45, 21, 17, 11, 1
2023/8/6, 42, 20, 14, 17, 1
2023/8/7, 44, 17, 15, 15, 1
2023/8/8, 41, 17, 17, 20, 1
2023/8/9, 42, 18, 15, 24, 1
2023/8/10, 46, 13, 17, 26, 1
2023/8/11, 38, 9, 17, 17, 1
2023/8/12, 23, 13, 15, 17, 1
2023/8/13, 33, 18, 15, 17, 1
2023/8/14, 43, 19, 11, 17, 1
2023/8/15, 44, 20, 14, 17, 2
2023/8/16, 47, 23, 19, 22, 1
2023/8/17, 55, 22, 17, 26, 1
2023/8/18, 56, 23, 8, 33, 2
2023/8/19, 57, 12, 12, 16, 1
2023/8/20, 31, 8, 9, 15, 1
2023/8/21, 19, 9, 12, 18, 1
2023/8/22, 21, 12, 13, 18, 1
2023/8/23, 30, 9, 12, 14, 1
2023/8/24, 22, 11, 13, 17, 1
2023/8/25, 25, 12, 13, 17, 1
2023/8/26, 28, 11, 11, 17, 1
2023/8/27, 29, 11, 13, 18, 1
2023/8/28, 29, 12, 19, 21, 1
2023/8/29, 35, 16, 35, 17, 1
2023/8/30, 44, 15, 23, 20, 2
2023/8/31, 41, 10, 21, 5, 2
2023/9/1, 31, 14, 35, 6, 1
2023/9/2, 28, 17, 21, 16, 1
2023/9/3, 40, 32, 57, 40, 3
2023/9/4, 74, 29, 21, 32, 3
2023/9/5, 70, 31, 43, 34, 3
2023/9/6, 74, 20, 18, 26, 2
2023/9/7, 54, 6, 25, 9, 1
2023/9/8, 21, 10, 24, 16, 1
2023/9/9, 32, 9, 26, 13, 1
2023/9/10, 24, 6, 7, 16, 1
2023/9/11, 15, 7, 9, 14, 1
2023/9/12, 15, 7, 11, 14, 1
2023/9/13, 15, 8, 9, 16, 1
2023/9/14, 19, 8, 9, 14, 1
2023/9/15, 19, 8, 13, 13, 1
2023/9/16, 16, 9, 22, 11, 1
2023/9/17, 27, 11, 15, 16, 2
2023/9/18, 30, 12, 11, 18, 2
2023/9/19, 33, 10, 10, 19, 2
2023/9/20, 27, 17, 23, 30, 2
2023/9/21, 42, 20, 36, 20, 2
2023/9/22, 53, 15, 26, 13, 2
2023/9/23, 42, 15, 30, 11, 2
2023/9/24, 33, 16, 28, 14, 2
2023/9/25, 35, 15, 34, 13, 2
2023/9/26, 37, 19, 31, 15, 2
2023/9/27, 49, 18, 27, 16, 2
2023/9/28, 47, 15, 24, 14, 2
2023/9/29, 36, 18, 27, 14, 2
2023/9/30, 49, 18, 40, 13, 2
2023/4/1, 58, 24, 29, 15, 2
2023/4/2, 60, 30, 32, 15, 2
2023/4/3, 62, 30, 25, 22, 3
2023/4/4, 53, 19, 8, 18, 3
2023/4/5, 50, 17, 5, 18, 3
2023/4/6, 54, 14, 36, 16, 3
2023/4/7, 37, 29, 46, 13, 3
2023/4/8, 59, 38, 44, 14, 4
2023/4/9, 72, 27, 42, 14, 3
2023/4/10, 47, 26, 30, 17, 3
2023/4/11, 43, 23, 18, 19, 3
2023/4/12, 48, 39, 37, 15, 4
2023/4/13, 66, 54, 31, 20, 4
2023/4/14, 76, 34, 46, 25, 4
2023/4/15, 67, 26, 51, 29, 9
2023/4/16, 64, 24, 37, 17, 7
2023/4/17, 66, 21, 17, 19, 2
2023/4/18, 54, 17, 25, 25, 3
2023/4/19, 51, 12, 25, 21, 3
2023/4/20, 38, 17, 29, 21, 2
2023/4/21, 41, 37, 37, 14, 
2023/4/22, 64, 52, 37, 13, 
2023/4/23, 75, 42, 29, 21, 
2023/4/24, 78, 22, 26, 20, 1
2023/4/25, 58, 14, 30, 13, 1
2023/4/26, 36, 28, 42, 19, 1
2023/4/27, 61, 29, 38, 16, 
2023/4/28, 63, 35, 29, 24, 1
2023/4/29, 70, 20, 43, 16, 1
2023/4/30, 47, 27, 58, 10, 1
2023/5/1, 52, 36, 54, 16, 1
2023/5/2, 56, 29, 29, 19, 1
2023/5/3, 55, 23, 14, 14, 1
2023/5/4, 41, 16, 11, 17, 1
2023/5/5, 38, 15, 10, 14, 1
2023/5/6, 33, 14, 15, 18, 1
2023/5/7, 39, 15, 17, 12, 1
2023/5/8, 46, 21, 46, 12, 1
2023/5/9, 46, 32, 50, 8, 1
2023/5/10, 55, 29, 45, 15, 1
2023/5/11, 58, 29, 37, 15, 1
2023/5/12, 64, 11, 17, 21, 1
2023/5/13, 37, 18, 30, 15, 1
2023/5/14, 59, 26, 26, 23, 1
2023/5/15, 72, 16, 23, 20, 1
2023/5/16, 47, 15, 11, 20, 1
2023/5/17, 39, 33, 11, 23, 3
2023/5/18, 74, 34, 12, 19, 2
2023/5/19, 76, 28, 9, 16, 1
2023/5/20, 66, 16, 12, 9, 1
2023/5/21, 43, 15, 12, 12, 1
2023/5/22, 37, 29, 30, 16, 1
2023/5/23, 47, 56, 36, 14, 1
2023/5/24, 80, 50, 35, 17, 1
2023/5/25, 78, 27, 18, 11, 1
2023/5/26, 49, 21, 17, 13, 1
2023/5/27, 48, 19, 23, 12, 1
2023/5/28, 37, 31, 28, 27, 2
2023/5/29, 56, 48, 91, 35, 3
2023/5/30, 94, 48, 32, 32, 2
2023/5/31, 97, 30, 32, 36, 2
2023/6/1, 71, 25, 29, 26, 2
2023/6/2, 61, 15, 19, 18, 2
2023/6/3, 40, 10, 15, 9, 2
2023/6/4, 28, 16, 14, 11, 2
2023/6/5, 35, 10, 13, 14, 2
2023/6/6, 20, 10, 8, 15, 2
2023/6/7, 19, 9, 10, 16, 2
2023/6/8, 19, 8, 10, 16, 2
2023/6/9, 18, 11, 12, 19, 2
2023/6/10, 27, 8, 20, 14, 2
2023/6/11, 20, 6, 20, 11, 1
2023/6/12, 17, 11, 16, 17, 1
2023/6/13, 28, 15, 30, 24, 1
2023/6/14, 47, 14, 17, 26, 1
2023/6/15, 36, 13, 15, 27, 1
2023/6/16, 38, 9, 8, 18, 1
2023/6/17, 21, 13, 6, 13, 1
2023/6/18, 27, 14, 9, 14, 1
2023/6/19, 26, 15, 11, 13, 1
2023/6/20, 29, 13, 10, 13, 1
2023/6/21, 27, 12, 14, 10, 1
2023/6/22, 25, 14, 12, 13, 1
2023/6/23, 29, 15, 6, 15, 1
2023/6/24, 32, 13, 9, 12, 1
2023/6/25, 36, 9, 12, 11, 1
2023/6/26, 18, 9, 12, 9, 1
2023/6/27, 17, 8, 4, 9, 1
2023/6/28, 14, 10, 10, 14, 1
2023/6/29, 19, 11, 8, 13, 2
2023/6/30, 33, 8, 7, 12, 2
2023/1/2, 73, 32, 15, 18, 3
2023/1/3, 84, 33, 35, 13, 2
2023/1/4, 79, 36, 34, 23, 3
2023/1/5, 75, 24, 27, 16, 2
2023/1/6, 61, 26, 36, 18, 3
2023/1/7, 68, 35, 39, 9, 3
2023/1/8, 64, 33, 30, 18, 3
2023/1/9, 67, 9, 15, 13, 3
2023/1/10, 33, 18, 26, 13, 3
2023/1/11, 52, 20, 24, 12, 3
2023/1/12, 52, 26, 14, 20, 4
2023/1/13, 56, 17, 3, 21, 4
2023/1/14, 43, 17, 10, 16, 4
2023/1/15, 47, 11, 13, 15, 3
2023/1/16, 35, 20, 10, 15, 3
2023/1/17, 56, 25, 17, 24, 3
2023/1/18, 61, 31, 19, 29, 4
2023/1/19, 73, 28, 26, 21, 3
2023/1/20, 69, 34, 34, 9, 2
2023/1/21, 69, 27, 23, 13, 3
2023/1/22, 74, 27, 17, 17, 4
2023/1/23, 76, 30, 23, 9, 4
2023/1/24, 72, 50, 25, 11, 4
2023/1/25, 96, 36, 22, 13, 3
2023/1/26, 77, 39, 23, 17, 4
2023/1/27, 75, 49, 33, 13, 6
2023/1/28, 75, 42, 30, 21, 8
2023/1/29, 72, 31, 27, 28, 3
2023/1/30, 66, 28, 34, 19, 2
2023/1/31, 55, 32, 36, 17, 1
2023/2/1, 54, 32, 38, 18, 1
2023/2/2, 63, 30, 34, 15, 1
2023/2/3, 62, 30, 28, 13, 1
2023/2/4, 66, 28, 19, 10, 1
2023/2/5, 73, 19, 21, 15, 1
2023/2/6, 54, 18, 18, 18, 1
2023/2/7, 52, 17, 32, 14, 1
2023/2/8, 43, 17, 27, 17, 1
2023/2/9, 44, 24, 21, 19, 1
2023/2/10, 64, 16, 22, 14, 1
2023/2/11, 49, 22, 23, 12, 1
2023/2/12, 59, 18, 16, 19, 2
2023/2/13, 54, 16, 23, 16, 1
2023/2/14, 36, 17, 29, 19, 1
2023/2/15, 49, 33, 37, 19, 2
2023/2/16, 73, 41, 36, 27, 1
2023/2/17, 71, 33, 46, 25, 2
2023/2/18, 65, 35, 61, 28, 2
2023/2/19, 74, 50, 57, 19, 2
2023/2/20, 106, 53, 41, 13, 2
2023/2/21, 98, 27, 34, 18, 1
2023/2/22, 45, 20, 33, 19, 1
2023/2/23, 46, 36, 35, 32, 2
2023/2/24, 76, 36, 35, 14, 1
2023/2/25, 81, 37, 46, 13, 1
2023/2/26, 86, 31, 41, 16, 1
2023/2/27, 51, 25, 37, 18, 1
2023/2/28, 48, 42, 36, 41, 2
2023/3/1, 82, 54, 65, 29, 2
2023/3/2, 113, 54, 48, 22, 2
2023/3/3, 93, 44, 48, 24, 2
2023/3/4, 76, 39, 54, 18, 2
2023/3/5, 72, 35, 46, 19, 2
2023/3/6, 59, 30, 39, 23, 2
2023/3/7, 59, 33, 23, 30, 2
2023/3/8, 63, 44, 35, 43, 4
2023/3/9, 85, 43, 63, 21, 3
2023/3/10, 89, 36, 46, 18, 2
2023/3/11, 71, 41, 35, 25, 2
2023/3/12, 76, 63, 33, 20, 2
2023/3/13, 96, 51, 42, 22, 2
2023/3/14, 74, 42, 38, 22, 2
2023/3/15, 73, 43, 51, 27, 3
2023/3/16, 80, 30, 30, 22, 2
2023/3/17, 65, 34, 33, 21, 3
2023/3/18, 78, 29, 30, 14, 2
2023/3/19, 61, 34, 26, 22, 2
2023/3/20, 61, 23, 11, 20, 2
2023/3/21, 51, 16, 11, 13, 2
2023/3/22, 43, 21, 11, 14, 2
2023/3/23, 55, 28, 11, 21, 3
2023/3/24, 73, 24, 21, 16, 2
2023/3/25, 59, 9, 22, 13, 3
2023/3/26, 31, 16, 25, 14, 2
2023/3/27, 38, 17, 33, 15, 2
2023/3/28, 45, 24, 38, 18, 2
2023/3/29, 56, 20, 30, 22, 2
2023/3/30, 54, 17, 34, 20, 2
2023/3/31, 49, 23, 31, 17, 2
2022/10/1, 31, 15, 17, 11, 1
2022/10/2, 36, 14, 13, 15, 1
2022/10/3, 38, 18, 27, 17, 1
2022/10/4, 49, 24, 35, 17, 1
2022/10/5, 58, 18, 35, 14, 1
2022/10/6, 36, 16, 32, 16, 1
2022/10/7, 34, 19, 37, 13, 1
2022/10/8, 49, 28, 49, 12, 1
2022/10/9, 54, 26, 30, 20, 2
2022/10/10, 41, 34, 41, 29, 2
2022/10/11, 53, 32, 42, 30, 2
2022/10/12, 55, 27, 44, 23, 2
2022/10/13, 49, 31, 44, 23, 2
2022/10/14, 53, 30, 42, 26, 2
2022/10/15, 58, 31, 44, 20, 3
2022/10/16, 60, 35, 38, 23, 3
2022/10/17, 57, 36, 44, 19, 2
2022/10/18, 69, 25, 39, 20, 2
2022/10/19, 49, 31, 39, 15, 1
2022/10/20, 40, 27, 34, 18, 1
2022/10/21, 41, 26, 43, 26, 2
2022/10/22, 53, 27, 52, 15, 2
2022/10/23, 59, 34, 49, 13, 2
2022/10/24, 60, 34, 39, 14, 1
2022/10/25, 47, 27, 37, 16, 1
2022/10/26, 40, 23, 32, 20, 1
2022/10/27, 38, 29, 49, 21, 2
2022/10/28, 48, 26, 40, 19, 2
2022/10/29, 56, 22, 36, 14, 2
2022/10/30, 53, 37, 32, 23, 3
2022/10/31, 60, 16, 35, 19, 2
2022/11/1, 44, 3, 29, 12, 2
2022/11/2, 14, 7, 26, 17, 2
2022/11/3, 27, 21, 39, 19, 2
2022/11/4, 48, 21, 31, 13, 2
2022/11/5, 49, 17, 22, 12, 2
2022/11/6, 50, 14, 18, 18, 2
2022/11/7, 42, 13, 20, 14, 2
2022/11/8, 43, 18, 35, 16, 2
2022/11/9, 52, 19, 31, 23, 2
2022/11/10, 46, 13, 24, 14, 2
2022/11/11, 37, 14, 19, 17, 2
2022/11/12, 40, 24, 43, 14, 2
2022/11/13, 68, 26, 34, 19, 2
2022/11/14, 61, 28, 34, 18, 2
2022/11/15, 59, 26, 35, 15, 2
2022/11/16, 58, 23, 29, 18, 2
2022/11/17, 55, 20, 28, 19, 2
2022/11/18, 54, 25, 41, 15, 2
2022/11/19, 56, 30, 41, 12, 2
2022/11/20, 71, 20, 30, 17, 2
2022/11/21, 50, 21, 29, 17, 2
2022/11/22, 56, 16, 22, 13, 2
2022/11/23, 43, 13, 23, 13, 2
2022/11/24, 32, 11, 18, 15, 2
2022/11/25, 32, 8, 20, 14, 2
2022/11/26, 16, 27, 37, 12, 2
2022/11/27, 53, 17, 30, 16, 2
2022/11/28, 44, 16, 8, 18, 2
2022/11/29, 39, 15, 6, 15, 2
2022/11/30, 33, 12, 3, 15, 2
